,States,Daily cases,Cumulative,date
15,Perlis,1,214,2021-03-04
8,Kedah,12,7690,2021-03-04
10,Kelantan,44,5041,2021-03-04
11,Pahang,13,3848,2021-03-04
12,Terengganu,10,3233,2021-03-04
13,Wp Labuan,0,2253,2021-03-04
14,Wp Putrajaya,7,1080,2021-03-04
7,Sarawak,361,10424,2021-03-04
9,Melaka,3,6033,2021-03-04
4,Negeri Sembilan,77,16283,2021-03-05
6,Perak,109,11774,2021-03-05
0,Selangor,794,103082,2021-03-05
1,Sabah,97,53313,2021-03-05
2,Johor,463,37704,2021-03-05
3,Wp Kuala Lumpur,108,35513,2021-03-05
7,Sarawak,250,10674,2021-03-05
5,Pulau Pinang,119,12225,2021-03-05
9,Melaka,10,6043,2021-03-05
14,Wp Putrajaya,4,1084,2021-03-05
12,Terengganu,16,3249,2021-03-05
8,Kedah,9,7699,2021-03-05
10,Kelantan,57,5098,2021-03-05
15,Perlis,1,215,2021-03-05
11,Pahang,38,3886,2021-03-05
13,Wp Labuan,2,2255,2021-03-05
0,Selangor,826,103908,2021-03-06
1,Sabah,74,53387,2021-03-06
2,Johor,139,37843,2021-03-06
3,Wp Kuala Lumpur,81,35594,2021-03-06
4,Negeri Sembilan,89,16372,2021-03-06
6,Perak,68,11842,2021-03-06
7,Sarawak,221,10895,2021-03-06
5,Pulau Pinang,84,12309,2021-03-06
9,Melaka,10,6053,2021-03-06
10,Kelantan,35,5133,2021-03-06
11,Pahang,17,3903,2021-03-06
12,Terengganu,22,3271,2021-03-06
13,Wp Labuan,1,2256,2021-03-06
14,Wp Putrajaya,2,1086,2021-03-06
15,Perlis,0,215,2021-03-06
8,Kedah,11,7710,2021-03-06
6,Perak,48,11890,2021-03-07
5,Pulau Pinang,172,12481,2021-03-07
0,Selangor,746,104654,2021-03-07
1,Sabah,99,53486,2021-03-07
2,Johor,158,38001,2021-03-07
3,Wp Kuala Lumpur,125,35719,2021-03-07
4,Negeri Sembilan,48,16420,2021-03-07
13,Wp Labuan,8,2264,2021-03-07
8,Kedah,15,7725,2021-03-07
10,Kelantan,12,5145,2021-03-07
11,Pahang,12,3915,2021-03-07
12,Terengganu,10,3281,2021-03-07
14,Wp Putrajaya,2,1088,2021-03-07
7,Sarawak,201,11096,2021-03-07
15,Perlis,24,239,2021-03-07
9,Melaka,3,6056,2021-03-07
5,Pulau Pinang,76,12557,2021-03-08
9,Melaka,4,6060,2021-03-08
6,Perak,49,11939,2021-03-08
0,Selangor,726,105380,2021-03-08
1,Sabah,71,53557,2021-03-08
2,Johor,120,38121,2021-03-08
3,Wp Kuala Lumpur,71,35790,2021-03-08
7,Sarawak,252,11348,2021-03-08
12,Terengganu,13,3294,2021-03-08
11,Pahang,3,3918,2021-03-08
13,Wp Labuan,0,2264,2021-03-08
14,Wp Putrajaya,1,1089,2021-03-08
15,Perlis,17,256,2021-03-08
8,Kedah,9,7734,2021-03-08
10,Kelantan,28,5173,2021-03-08
4,Negeri Sembilan,89,16509,2021-03-08
7,Sarawak,163,11511,2021-03-09
0,Selangor,464,105844,2021-03-09
2,Johor,165,38286,2021-03-09
3,Wp Kuala Lumpur,119,35909,2021-03-09
4,Negeri Sembilan,45,16554,2021-03-09
5,Pulau Pinang,143,12700,2021-03-09
6,Perak,34,11973,2021-03-09
1,Sabah,64,53621,2021-03-09
8,Kedah,25,7759,2021-03-09
9,Melaka,0,6060,2021-03-09
10,Kelantan,16,5189,2021-03-09
11,Pahang,2,3920,2021-03-09
12,Terengganu,36,3330,2021-03-09
14,Wp Putrajaya,3,1092,2021-03-09
15,Perlis,1,257,2021-03-09
13,Wp Labuan,0,2264,2021-03-09
15,Perlis,7,264,2021-03-10
0,Selangor,561,106405,2021-03-10
1,Sabah,54,53675,2021-03-10
2,Johor,273,38559,2021-03-10
3,Wp Kuala Lumpur,103,36012,2021-03-10
4,Negeri Sembilan,10,16564,2021-03-10
6,Perak,83,12056,2021-03-10
5,Pulau Pinang,99,12799,2021-03-10
10,Kelantan,19,5208,2021-03-10
9,Melaka,11,6071,2021-03-10
11,Pahang,1,3921,2021-03-10
12,Terengganu,8,3338,2021-03-10
13,Wp Labuan,0,2264,2021-03-10
14,Wp Putrajaya,0,1092,2021-03-10
7,Sarawak,199,11710,2021-03-10
8,Kedah,20,7779,2021-03-10
3,Wp Kuala Lumpur,86,36098,2021-03-11
4,Negeri Sembilan,79,16643,2021-03-11
0,Selangor,712,107117,2021-03-11
6,Perak,69,12125,2021-03-11
1,Sabah,61,53736,2021-03-11
12,Terengganu,4,3342,2021-03-11
2,Johor,170,38729,2021-03-11
5,Pulau Pinang,169,12968,2021-03-11
13,Wp Labuan,1,2265,2021-03-11
10,Kelantan,28,5236,2021-03-11
9,Melaka,71,6142,2021-03-11
11,Pahang,7,3928,2021-03-11
7,Sarawak,168,11878,2021-03-11
15,Perlis,2,266,2021-03-11
14,Wp Putrajaya,2,1094,2021-03-11
8,Kedah,18,7797,2021-03-11
0,Selangor,751,107868,2021-03-12
1,Sabah,57,53793,2021-03-12
2,Johor,135,38864,2021-03-12
3,Wp Kuala Lumpur,108,36206,2021-03-12
4,Negeri Sembilan,32,16675,2021-03-12
6,Perak,44,12169,2021-03-12
7,Sarawak,173,12051,2021-03-12
5,Pulau Pinang,132,13100,2021-03-12
9,Melaka,25,6167,2021-03-12
10,Kelantan,43,5279,2021-03-12
11,Pahang,4,3932,2021-03-12
12,Terengganu,16,3358,2021-03-12
13,Wp Labuan,3,2268,2021-03-12
14,Wp Putrajaya,4,1098,2021-03-12
15,Perlis,25,291,2021-03-12
8,Kedah,23,7820,2021-03-12
6,Sarawak,222,12273,2021-03-13
5,Pulau Pinang,178,13278,2021-03-13
0,Selangor,551,108419,2021-03-13
1,Sabah,71,53864,2021-03-13
2,Johor,101,38965,2021-03-13
3,Wp Kuala Lumpur,158,36364,2021-03-13
4,Negeri Sembilan,6,16681,2021-03-13
13,Wp Labuan,1,2269,2021-03-13
8,Kedah,13,7833,2021-03-13
10,Kelantan,40,5319,2021-03-13
11,Pahang,8,3940,2021-03-13
12,Terengganu,14,3372,2021-03-13
14,Wp Putrajaya,4,1102,2021-03-13
15,Perlis,29,320,2021-03-13
7,Perak,72,12241,2021-03-13
9,Melaka,2,6169,2021-03-13
3,Wp Kuala Lumpur,55,36419,2021-03-14
5,Pulau Pinang,154,13432,2021-03-14
6,Sarawak,178,12451,2021-03-14
0,Selangor,577,108996,2021-03-14
1,Sabah,39,53903,2021-03-14
2,Johor,121,39086,2021-03-14
4,Negeri Sembilan,21,16702,2021-03-14
7,Perak,101,12342,2021-03-14
15,Perlis,0,320,2021-03-14
11,Pahang,5,3945,2021-03-14
12,Terengganu,37,3409,2021-03-14
13,Wp Labuan,1,2270,2021-03-14
14,Wp Putrajaya,2,1104,2021-03-14
8,Kedah,33,7866,2021-03-14
10,Kelantan,26,5345,2021-03-14
9,Melaka,4,6173,2021-03-14
7,Perak,37,12379,2021-03-15
0,Selangor,379,109375,2021-03-15
2,Johor,118,39204,2021-03-15
3,Wp Kuala Lumpur,61,36480,2021-03-15
4,Negeri Sembilan,80,16782,2021-03-15
5,Pulau Pinang,142,13574,2021-03-15
6,Sarawak,251,12702,2021-03-15
1,Sabah,29,53932,2021-03-15
8,Kedah,27,7893,2021-03-15
9,Melaka,2,6175,2021-03-15
10,Kelantan,25,5370,2021-03-15
11,Pahang,17,3962,2021-03-15
12,Terengganu,39,3448,2021-03-15
14,Wp Putrajaya,1,1105,2021-03-15
15,Perlis,0,320,2021-03-15
13,Wp Labuan,0,2270,2021-03-15
15,Perlis,0,320,2021-03-16
0,Selangor,323,109698,2021-03-16
1,Sabah,38,53970,2021-03-16
2,Johor,91,39295,2021-03-16
3,Wp Kuala Lumpur,86,36566,2021-03-16
4,Negeri Sembilan,17,16799,2021-03-16
6,Sarawak,183,12885,2021-03-16
5,Pulau Pinang,175,13749,2021-03-16
10,Kelantan,67,5437,2021-03-16
9,Melaka,1,6176,2021-03-16
11,Pahang,2,3964,2021-03-16
12,Terengganu,23,3471,2021-03-16
13,Wp Labuan,1,2271,2021-03-16
14,Wp Putrajaya,0,1105,2021-03-16
7,Perak,24,12403,2021-03-16
8,Kedah,32,7925,2021-03-16
3,Wp Kuala Lumpur,54,36620,2021-03-17
4,Negeri Sembilan,46,16845,2021-03-17
0,Selangor,499,110197,2021-03-17
6,Sarawak,225,13110,2021-03-17
1,Sabah,31,54001,2021-03-17
12,Terengganu,15,3486,2021-03-17
2,Johor,169,39464,2021-03-17
5,Pulau Pinang,69,13818,2021-03-17
13,Wp Labuan,1,2272,2021-03-17
10,Kelantan,19,5456,2021-03-17
9,Melaka,20,6196,2021-03-17
11,Pahang,3,3967,2021-03-17
7,Perak,36,12439,2021-03-17
15,Perlis,1,321,2021-03-17
14,Wp Putrajaya,5,1110,2021-03-17
8,Kedah,26,7951,2021-03-17
5,Pulau Pinang,104,13922,2021-03-18
0,Selangor,353,110550,2021-03-18
1,Sabah,73,54074,2021-03-18
2,Johor,142,39606,2021-03-18
3,Wp Kuala Lumpur,79,36699,2021-03-18
4,Negeri Sembilan,23,16868,2021-03-18
6,Sarawak,303,13413,2021-03-18
7,Perak,39,12478,2021-03-18
10,Kelantan,20,5476,2021-03-18
11,Pahang,14,3981,2021-03-18
12,Terengganu,15,3501,2021-03-18
13,Wp Labuan,2,2274,2021-03-18
14,Wp Putrajaya,0,1110,2021-03-18
15,Perlis,0,321,2021-03-18
8,Kedah,38,7989,2021-03-18
9,Melaka,8,6204,2021-03-18
6,Sarawak,407,13820,2021-03-19
13,Wp Labuan,2,2276,2021-03-19
0,Selangor,348,110898,2021-03-19
1,Sabah,33,54107,2021-03-19
2,Johor,137,39743,2021-03-19
3,Wp Kuala Lumpur,175,36874,2021-03-19
4,Negeri Sembilan,41,16909,2021-03-19
5,Pulau Pinang,182,14104,2021-03-19
9,Melaka,54,6258,2021-03-19
10,Kelantan,52,5528,2021-03-19
11,Pahang,13,3994,2021-03-19
12,Terengganu,6,3507,2021-03-19
14,Wp Putrajaya,1,1111,2021-03-19
15,Perlis,0,321,2021-03-19
7,Perak,100,12578,2021-03-19
8,Kedah,25,8014,2021-03-19
6,Sarawak,154,13974,2021-03-20
12,Terengganu,32,3539,2021-03-20
1,Sabah,102,54209,2021-03-20
2,Johor,130,39873,2021-03-20
0,Selangor,652,111550,2021-03-20
3,Wp Kuala Lumpur,78,36952,2021-03-20
4,Negeri Sembilan,25,16934,2021-03-20
5,Pulau Pinang,328,14432,2021-03-20
7,Perak,37,12615,2021-03-20
14,Wp Putrajaya,0,1111,2021-03-20
13,Wp Labuan,3,2279,2021-03-20
15,Perlis,0,321,2021-03-20
10,Kelantan,63,5591,2021-03-20
11,Pahang,3,3997,2021-03-20
9,Melaka,18,6276,2021-03-20
8,Kedah,46,8060,2021-03-20
9,Melaka,10,6286,2021-03-21
0,Selangor,356,111906,2021-03-21
1,Sabah,50,54259,2021-03-21
2,Johor,141,40014,2021-03-21
3,Wp Kuala Lumpur,115,37067,2021-03-21
5,Pulau Pinang,205,14637,2021-03-21
6,Sarawak,276,14250,2021-03-21
4,Negeri Sembilan,22,16956,2021-03-21
15,Perlis,5,326,2021-03-21
14,Wp Putrajaya,3,1114,2021-03-21
7,Perak,55,12670,2021-03-21
12,Terengganu,18,3557,2021-03-21
11,Pahang,11,4008,2021-03-21
10,Kelantan,30,5621,2021-03-21
13,Wp Labuan,0,2279,2021-03-21
8,Kedah,30,8090,2021-03-21
9,Melaka,12,6298,2021-03-22
8,Kedah,27,8117,2021-03-22
14,Wp Putrajaya,5,1119,2021-03-22
13,Wp Labuan,8,2287,2021-03-22
12,Terengganu,3,3560,2021-03-22
11,Pahang,42,4050,2021-03-22
10,Kelantan,44,5665,2021-03-22
15,Perlis,0,326,2021-03-22
7,Perak,39,12709,2021-03-22
4,Negeri Sembilan,41,16997,2021-03-22
3,Wp Kuala Lumpur,158,37225,2021-03-22
2,Johor,86,40100,2021-03-22
1,Sabah,36,54295,2021-03-22
0,Selangor,403,112309,2021-03-22
6,Sarawak,124,14374,2021-03-22
5,Pulau Pinang,88,14725,2021-03-22
0,Selangor,625,112934,2021-03-23
1,Sabah,60,54355,2021-03-23
2,Johor,161,40261,2021-03-23
3,Wp Kuala Lumpur,64,37289,2021-03-23
4,Negeri Sembilan,10,17007,2021-03-23
5,Pulau Pinang,100,14825,2021-03-23
6,Sarawak,140,14514,2021-03-23
7,Perak,4,12713,2021-03-23
8,Kedah,51,8168,2021-03-23
9,Melaka,45,6343,2021-03-23
10,Kelantan,65,5730,2021-03-23
11,Pahang,38,4088,2021-03-23
12,Terengganu,7,3567,2021-03-23
13,Wp Labuan,14,2301,2021-03-23
14,Wp Putrajaya,0,1119,2021-03-23
15,Perlis,0,326,2021-03-23
0,Selangor,490,113424,2021-03-24
1,Sabah,45,54400,2021-03-24
2,Johor,135,40396,2021-03-24
3,Wp Kuala Lumpur,53,37342,2021-03-24
4,Negeri Sembilan,59,17066,2021-03-24
5,Pulau Pinang,99,14924,2021-03-24
6,Sarawak,141,14655,2021-03-24
15,Perlis,0,326,2021-03-24
8,Kedah,49,8217,2021-03-24
9,Melaka,52,6395,2021-03-24
10,Kelantan,49,5779,2021-03-24
11,Pahang,43,4131,2021-03-24
12,Terengganu,4,3571,2021-03-24
13,Wp Labuan,1,2302,2021-03-24
14,Wp Putrajaya,6,1125,2021-03-24
7,Perak,42,12755,2021-03-24
5,Pulau Pinang,113,15037,2021-03-25
0,Selangor,356,113780,2021-03-25
1,Sabah,70,54470,2021-03-25
2,Johor,129,40525,2021-03-25
3,Wp Kuala Lumpur,98,37440,2021-03-25
4,Negeri Sembilan,49,17115,2021-03-25
6,Sarawak,308,14963,2021-03-25
7,Perak,71,12826,2021-03-25
8,Kedah,44,8261,2021-03-25
9,Melaka,32,6427,2021-03-25
10,Kelantan,63,5842,2021-03-25
11,Pahang,10,4141,2021-03-25
12,Terengganu,6,3577,2021-03-25
13,Wp Labuan,3,2305,2021-03-25
14,Wp Putrajaya,8,1133,2021-03-25
15,Perlis,0,326,2021-03-25
6,Pulau Pinang,137,15174,2021-03-26
0,Selangor,478,114258,2021-03-26
1,Sabah,51,54521,2021-03-26
2,Johor,120,40645,2021-03-26
3,Wp Kuala Lumpur,86,37526,2021-03-26
4,Negeri Sembilan,12,17127,2021-03-26
5,Sarawak,213,15176,2021-03-26
7,Perak,28,12854,2021-03-26
8,Kedah,27,8288,2021-03-26
10,Kelantan,86,5928,2021-03-26
11,Pahang,6,4147,2021-03-26
12,Terengganu,3,3580,2021-03-26
13,Wp Labuan,5,2310,2021-03-26
14,Wp Putrajaya,2,1135,2021-03-26
15,Perlis,2,328,2021-03-26
9,Melaka,19,6446,2021-03-26
0,Selangor,283,114541,2021-03-27
5,Sarawak,267,15443,2021-03-27
4,Negeri Sembilan,43,17170,2021-03-27
15,Perlis,0,328,2021-03-27
2,Johor,81,40726,2021-03-27
1,Sabah,64,54585,2021-03-27
6,Pulau Pinang,125,15299,2021-03-27
3,Wp Kuala Lumpur,84,37610,2021-03-27
8,Kedah,33,8321,2021-03-27
9,Melaka,36,6482,2021-03-27
14,Wp Putrajaya,1,1136,2021-03-27
13,Wp Labuan,2,2312,2021-03-27
7,Perak,9,12863,2021-03-27
11,Pahang,30,4177,2021-03-27
10,Kelantan,138,6066,2021-03-27
12,Terengganu,3,3583,2021-03-27
5,Sarawak,426,15869,2021-03-28
0,Selangor,256,114797,2021-03-28
1,Sabah,38,54623,2021-03-28
2,Johor,176,40902,2021-03-28
3,Wp Kuala Lumpur,58,37668,2021-03-28
4,Negeri Sembilan,9,17179,2021-03-28
6,Pulau Pinang,212,15511,2021-03-28
7,Perak,23,12886,2021-03-28
8,Kedah,23,8344,2021-03-28
9,Melaka,5,6487,2021-03-28
10,Kelantan,34,6100,2021-03-28
11,Pahang,32,4209,2021-03-28
12,Terengganu,2,3585,2021-03-28
13,Wp Labuan,6,2318,2021-03-28
14,Wp Putrajaya,2,1138,2021-03-28
15,Perlis,0,328,2021-03-28
2,Johor,171,41073,2021-03-29
6,Pulau Pinang,164,15675,2021-03-29
0,Selangor,219,115016,2021-03-29
1,Sabah,34,54657,2021-03-29
3,Wp Kuala Lumpur,57,37725,2021-03-29
4,Negeri Sembilan,18,17197,2021-03-29
5,Sarawak,192,16061,2021-03-29
7,Perak,5,12891,2021-03-29
8,Kedah,13,8357,2021-03-29
10,Kelantan,49,6149,2021-03-29
11,Pahang,5,4214,2021-03-29
12,Terengganu,4,3589,2021-03-29
14,Wp Putrajaya,1,1139,2021-03-29
15,Perlis,0,328,2021-03-29
9,Melaka,8,6495,2021-03-29
13,Wp Labuan,1,2319,2021-03-29
6,Pulau Pinang,194,15869,2021-03-30
15,Perlis,1,329,2021-03-30
0,Selangor,401,115417,2021-03-30
1,Sabah,41,54698,2021-03-30
2,Johor,96,41169,2021-03-30
3,Wp Kuala Lumpur,53,37778,2021-03-30
4,Negeri Sembilan,39,17236,2021-03-30
5,Sarawak,153,16214,2021-03-30
9,Melaka,6,6501,2021-03-30
11,Pahang,16,4230,2021-03-30
12,Terengganu,2,3591,2021-03-30
13,Wp Labuan,1,2320,2021-03-30
14,Wp Putrajaya,1,1140,2021-03-30
8,Kedah,41,8398,2021-03-30
7,Perak,44,12935,2021-03-30
10,Kelantan,44,6193,2021-03-30
5,Sarawak,176,16390,2021-03-31
0,Selangor,661,116078,2021-03-31
1,Sabah,69,54767,2021-03-31
2,Johor,86,41255,2021-03-31
3,Wp Kuala Lumpur,42,37820,2021-03-31
4,Negeri Sembilan,32,17268,2021-03-31
6,Pulau Pinang,200,16069,2021-03-31
7,Perak,31,12966,2021-03-31
8,Kedah,37,8435,2021-03-31
9,Melaka,41,6542,2021-03-31
10,Kelantan,57,6250,2021-03-31
11,Pahang,36,4266,2021-03-31
12,Terengganu,2,3593,2021-03-31
13,Wp Labuan,8,2328,2021-03-31
14,Wp Putrajaya,3,1143,2021-03-31
15,Perlis,1,330,2021-03-31
6,Pulau Pinang,190,16259,2021-04-01
0,Selangor,237,116315,2021-04-01
1,Sabah,86,54853,2021-04-01
2,Johor,165,41420,2021-04-01
3,Wp Kuala Lumpur,101,37921,2021-04-01
4,Negeri Sembilan,34,17302,2021-04-01
5,Sarawak,238,16628,2021-04-01
7,Perak,31,12997,2021-04-01
8,Kedah,32,8467,2021-04-01
10,Kelantan,27,6277,2021-04-01
11,Pahang,14,4280,2021-04-01
12,Terengganu,6,3599,2021-04-01
13,Wp Labuan,7,2335,2021-04-01
14,Wp Putrajaya,1,1144,2021-04-01
15,Perlis,0,330,2021-04-01
9,Melaka,9,6551,2021-04-01
0,Selangor,455,116770,2021-04-02
5,Sarawak,217,16845,2021-04-02
4,Negeri Sembilan,31,17333,2021-04-02
15,Perlis,1,331,2021-04-02
2,Johor,103,41523,2021-04-02
1,Sabah,63,54916,2021-04-02
6,Pulau Pinang,139,16398,2021-04-02
3,Wp Kuala Lumpur,88,38009,2021-04-02
8,Kedah,21,8488,2021-04-02
9,Melaka,22,6573,2021-04-02
14,Wp Putrajaya,5,1149,2021-04-02
13,Wp Labuan,4,2339,2021-04-02
7,Perak,14,13011,2021-04-02
11,Pahang,57,4337,2021-04-02
10,Kelantan,66,6343,2021-04-02
12,Terengganu,8,3607,2021-04-02
7,Perak,494,13505,2021-04-03
5,Sarawak,290,17135,2021-04-03
0,Selangor,352,117122,2021-04-03
1,Sabah,73,54989,2021-04-03
2,Johor,83,41606,2021-04-03
4,Negeri Sembilan,25,17358,2021-04-03
6,Pulau Pinang,92,16490,2021-04-03
3,Wp Kuala Lumpur,67,38076,2021-04-03
8,Kedah,20,8508,2021-04-03
9,Melaka,20,6593,2021-04-03
11,Pahang,35,4372,2021-04-03
12,Terengganu,4,3611,2021-04-03
13,Wp Labuan,12,2351,2021-04-03
14,Wp Putrajaya,7,1156,2021-04-03
15,Perlis,0,331,2021-04-03
10,Kelantan,64,6407,2021-04-03
6,Pulau Pinang,185,16675,2021-04-04
7,Perak,24,13529,2021-04-04
0,Selangor,343,117465,2021-04-04
2,Johor,95,41701,2021-04-04
3,Wp Kuala Lumpur,73,38149,2021-04-04
4,Sarawak,419,17554,2021-04-04
5,Negeri Sembilan,20,17378,2021-04-04
1,Sabah,68,55057,2021-04-04
15,Perlis,1,332,2021-04-04
10,Kelantan,18,6425,2021-04-04
11,Pahang,11,4383,2021-04-04
12,Terengganu,6,3617,2021-04-04
13,Wp Labuan,22,2373,2021-04-04
14,Wp Putrajaya,17,1173,2021-04-04
9,Melaka,15,6608,2021-04-04
8,Kedah,32,8540,2021-04-04
0,Selangor,327,117792,2021-04-05
5,Negeri Sembilan,12,17390,2021-04-05
4,Sarawak,225,17779,2021-04-05
15,Perlis,2,334,2021-04-05
2,Johor,55,41756,2021-04-05
3,Wp Kuala Lumpur,88,38237,2021-04-05
6,Pulau Pinang,133,16808,2021-04-05
1,Sabah,65,55122,2021-04-05
8,Kedah,34,8574,2021-04-05
9,Melaka,25,6633,2021-04-05
14,Wp Putrajaya,8,1181,2021-04-05
13,Wp Labuan,17,2390,2021-04-05
10,Kelantan,31,6456,2021-04-05
11,Pahang,37,4420,2021-04-05
7,Perak,8,13537,2021-04-05
12,Terengganu,3,3620,2021-04-05
5,Negeri Sembilan,14,17404,2021-04-06
0,Selangor,242,118034,2021-04-06
1,Sabah,112,55234,2021-04-06
2,Johor,98,41854,2021-04-06
3,Wp Kuala Lumpur,87,38324,2021-04-06
4,Sarawak,385,18164,2021-04-06
6,Pulau Pinang,110,16918,2021-04-06
7,Perak,61,13598,2021-04-06
8,Kedah,27,8601,2021-04-06
9,Melaka,7,6640,2021-04-06
10,Kelantan,126,6582,2021-04-06
11,Pahang,11,4431,2021-04-06
12,Terengganu,9,3629,2021-04-06
13,Wp Labuan,8,2398,2021-04-06
14,Wp Putrajaya,3,1184,2021-04-06
15,Perlis,0,334,2021-04-06
2,Johor,102,41956,2021-04-07
6,Pulau Pinang,93,17011,2021-04-07
0,Selangor,294,118328,2021-04-07
1,Sabah,60,55294,2021-04-07
3,Wp Kuala Lumpur,84,38408,2021-04-07
4,Sarawak,332,18496,2021-04-07
5,Negeri Sembilan,30,17434,2021-04-07
7,Perak,24,13622,2021-04-07
8,Kedah,35,8636,2021-04-07
10,Kelantan,38,6620,2021-04-07
11,Pahang,23,4454,2021-04-07
12,Terengganu,10,3639,2021-04-07
14,Wp Putrajaya,0,1184,2021-04-07
15,Perlis,0,334,2021-04-07
9,Melaka,13,6653,2021-04-07
13,Wp Labuan,1,2399,2021-04-07
2,Johor,101,42057,2021-04-08
15,Perlis,1,335,2021-04-08
4,Sarawak,211,18707,2021-04-08
3,Wp Kuala Lumpur,120,38528,2021-04-08
6,Pulau Pinang,162,17173,2021-04-08
1,Sabah,106,55400,2021-04-08
0,Selangor,374,118702,2021-04-08
5,Negeri Sembilan,12,17446,2021-04-08
9,Kelantan,87,6707,2021-04-08
11,Pahang,12,4466,2021-04-08
7,Perak,24,13646,2021-04-08
8,Kedah,31,8667,2021-04-08
10,Melaka,11,6664,2021-04-08
13,Wp Labuan,3,2402,2021-04-08
12,Terengganu,11,3650,2021-04-08
14,Wp Putrajaya,19,1203,2021-04-08
7,Perak,29,13675,2021-04-09
5,Negeri Sembilan,40,17486,2021-04-09
0,Selangor,403,119105,2021-04-09
1,Sabah,139,55539,2021-04-09
2,Johor,103,42160,2021-04-09
4,Sarawak,555,19262,2021-04-09
6,Pulau Pinang,176,17349,2021-04-09
3,Wp Kuala Lumpur,135,38663,2021-04-09
8,Kedah,40,8707,2021-04-09
9,Kelantan,143,6850,2021-04-09
11,Pahang,19,4485,2021-04-09
12,Terengganu,29,3679,2021-04-09
13,Wp Labuan,3,2405,2021-04-09
14,Wp Putrajaya,6,1209,2021-04-09
15,Perlis,0,335,2021-04-09
10,Melaka,34,6698,2021-04-09
6,Pulau Pinang,101,17450,2021-04-10
7,Perak,46,13721,2021-04-10
1,Sabah,131,55670,2021-04-10
0,Selangor,415,119520,2021-04-10
3,Wp Kuala Lumpur,106,38769,2021-04-10
4,Sarawak,296,19558,2021-04-10
5,Negeri Sembilan,28,17514,2021-04-10
2,Johor,80,42240,2021-04-10
13,Wp Labuan,2,2407,2021-04-10
10,Melaka,6,6704,2021-04-10
11,Pahang,13,4498,2021-04-10
12,Terengganu,44,3723,2021-04-10
15,Perlis,2,337,2021-04-10
14,Wp Putrajaya,10,1219,2021-04-10
8,Kedah,59,8766,2021-04-10
9,Kelantan,171,7021,2021-04-10
15,Perlis,0,337,2021-04-11
6,Negeri Sembilan,40,17554,2021-04-11
0,Selangor,535,120055,2021-04-11
1,Sabah,127,55797,2021-04-11
2,Johor,67,42307,2021-04-11
3,Wp Kuala Lumpur,96,38865,2021-04-11
4,Sarawak,443,20001,2021-04-11
5,Pulau Pinang,113,17563,2021-04-11
